2 0 22.3322 0.0120998 7 3.91667 13
2 1 22.1344 0.0149258 8 3.72222 23
2 2 22.0028 0.00329793 8 3.4 16
0 88 22.3638 0.00475967 10 3.8843 135
0 88 1.117 2 2 4 0
0 0 22.3609 0.00800039 5 3.9 22
0 1 22.4969 0.0052302 6 2.41176 88
1 0 22.2754 0.00672076 6 2 39
1 1 22.5697 0.00618098 9 0 68
0 89 22.5271 0.00295931 8 1.92308 40
0 89 1.875 2 2 2 0
0 0 24.43 0 2 0 1
1 0 22.4079 0.00565213 8 3.63415 56
1 0 22.3245 0.0028493 6 2.94118 35
1 0 1.483 2 2 4 0
0 0 22.3193 0.0038353 4 3 8
0 1 22.3654 0.00930992 5 2 12
1 0 22.3703 0.00829649 4 0 12
1 1 22.362 0.0117742 5 0 18
1 1 22.1929 0.00963302 5 3.95652 24
1 1 1.471 2 2 4 0
0 0 22.4478 0.0163282 5 3.5 6
0 1 22.4755 0.00910275 4 2 12
1 0 22.2399 0.00246512 5 3.4 8
1 1 22.4181 0.00717182 5 0 15
1 2 22.3219 0.00742038 6 3.55556 26
1 2 1.371 2 2 4 0
0 0 22.4773 0.00923085 4 2 12
0 1 22.233 0.00922877 4 3.16667 11
1 0 22.4332 0.00763203 6 2 12
1 1 22.4074 0.00504658 6 2.6 12
1 3 22.2474 0.00259655 7 0 21
1 3 1.376 2 2 4 0
0 0 22.2957 0.00407878 4 2.85714 15
0 1 22.3147 0.00559331 5 0 17
1 0 22.4293 0.0102711 5 3.33333 15
1 1 22.3965 0.00871206 5 0 13
1 4 22.3034 0.00331412 7 3.65 27
1 4 1.492 2 2 4 0
0 0 22.3117 0.00455582 5 0 15
0 1 22.2814 0.00331114 3 0 9
1 0 22.4205 0.005587 6 3.5 15
1 1 22.565 0.0104157 6 2.16667 17
1 5 22.5706 0.0111783 9 2.375 21
1 5 1.473 2 2 4 0
0 0 22.4149 0.013051 4 2 15
0 1 22.6581 0.0168729 6 3.5 18
1 0 22.5432 0.00775904 6 3.81818 13
1 1 22.5315 0.00884453 7 3.63636 15
1 6 22.6877 0.0106822 8 3.23077 23
1 6 1.460 2 2 4 0
0 0 22.6588 0.0121686 8 3.11111 17
0 1 22.6484 0.0100721 6 2.66667 14
1 0 22.5302 0.00840326 7 3.88889 10
1 1 22.1521 0.00278612 6 3.81818 13
1 7 22.5043 0.00677902 7 2.46154 33
1 7 1.585 2 2 4 0
0 0 22.6501 0.00923618 6 2.33333 16
0 1 22.4904 0.00568984 6 3.33333 10
1 0 22.1362 0.00366504 7 3.78571 17
1 1 22.4352 0.00357561 5 2.42857 18
1 8 22.3969 0.00898803 6 3.25 28
1 8 1.477 2 2 4 0
0 0 22.4944 0.0108673 5 2.25 11
0 1 22.2866 0.00541019 4 2.16667 17
1 0 22.4888 0.0065117 4 3.58333 17
1 1 22.2778 0.00535679 7 3.5 18
1 9 22.2956 0.00975481 7 2.61538 31
1 9 1.498 2 2 4 0
0 0 22.2844 0.00560954 3 2 18
0 1 22.2396 0.00738444 4 3.875 9
1 0 22.3014 0.00781674 6 2.22222 25
1 1 22.4675 0.00549865 6 3.84615 15
1 10 22.2975 0.00678449 6 3.68421 25
1 10 1.623 2 2 4 0
0 0 22.4263 0.0109729 4 0 14
0 1 22.3028 0.00505374 4 3.91667 13
1 0 22.4207 0.0087731 7 2.83333 26
1 1 22.2902 0.00774966 6 3.58333 17
1 11 22.2547 0.00577182 6 3.83333 21
1 11 1.593 2 2 4 0
0 0 22.5486 0.00784328 4 0 12
0 1 22.3107 0.0041529 4 3.375 13
1 0 22.2925 0.00934787 5 3.69231 17
1 1 22.2991 0.00827136 7 2 18
1 12 22.318 0.00386866 6 3.45 31
1 12 1.372 2 2 4 0
0 0 22.2893 0.00592398 4 0 11
0 1 22.317 0.0123999 4 3.33333 10
1 0 22.3099 0.00946952 7 0.8 21
1 1 22.2803 0.00853752 4 1.57143 24
1 13 22.1799 0.00985825 3 1.90909 34
1 13 1.485 2 2 4 0
0 0 22.2369 0.00890676 4 2.8 11
0 1 22.0729 0.00816606 4 0 11
1 0 22.3245 0.00296876 5 0 20
1 1 22.1287 0.00809776 5 3.61538 18
1 14 22.1724 0.00354221 6 2.93333 31
1 14 1.488 2 2 4 0
0 0 22.0948 0.01175 4 3 16
0 1 22.2465 0.00638559 6 2.4 13
1 0 22.1274 0.00611558 5 3.4 16
1 1 22.1196 0.0110116 5 1.85714 22
1 15 22.1118 0.00361393 8 3.90909 24
1 15 1.490 2 2 4 0
0 0 22.2165 0.00514272 5 2.4 13
0 1 22.231 0.00501995 6 2.83333 13
1 0 22.1385 0.00955503 6 2.14286 20
1 1 22.2233 0.00831951 5 3 20
1 16 22.2823 0.00643471 8 3.31579 32
1 16 1.491 2 2 4 0
